屋号・商号,屋号・商号フリガナ,業種（大分類）,業種（中分類）,主な取扱品目,地域,郵便番号,住所,電話番号,さるぼぼコイン
錦羽屋,ｷﾝﾊﾟﾔ,飲食業,専門料理店,韓国料理屋,高山,506-0054,岡本町4－450－1,0577-35-4230,利用不可
銀風,ｷﾞﾝﾌﾟｳ,飲食業,日本料理店,会席料理、お弁当、ｵｰﾄﾞﾌﾞﾙ等,高山,506-0012,八軒町2-52,33-0057,利用不可
銀風亭,ｷﾞﾝﾌﾟｳﾃｲ,飲食業,日本料理店,懐石料理･飛騨牛料理･各種定食,高山,506-0844,上一之町66,32-7566,利用不可
久々野観光㈱,ｸｸﾞﾉｶﾝｺｳﾌﾞ),バス・タクシー運行業,旅行業,ツアー旅行,久々野,509-3205,久々野町久々野241-1,52-2992,利用可能
久々野タクシー㈲,ｸｸﾞﾉﾀｸｼｰ(ﾕ,バス・タクシー運行業,タクシー・代行,貸切タクシー、乗合タクシー,久々野,509-3214,久々野町無数河2388-1,52-2500,利用不可
ｃｕｃｕｌｕ,ｸｸﾙ,理美容・エステ業（マッサージ業）,美容室,美容室,丹生川,506-2133,丹生川町北方2278-1,090-5612-4737,利用不可
久寿玉  ㈲平瀬酒造店,ｸｽﾀﾞﾏﾋﾗｾｼｭｿﾞｳﾃﾝ,小売業,酒屋,日本酒,高山,506-0844,上一之町82,34-0010,利用不可
寛ぎの舎　游,ｸﾂﾛｷﾞﾉﾔﾕｳ,ホテル・旅館業等,旅館,旅館,奥飛騨温泉郷,506-1432,奥飛騨温泉郷一重ケ根200-228,0578-89-3345,利用可能
久手観光開発㈱はたほこSS,ｸﾃｶﾝｺｳｶｲﾊﾂﾊﾀﾎｺｴｽｴｽ,小売業,酒屋,日本酒他アルコール類,丹生川,506-2251,丹生川町旗鉾267-3,0577-70-1031,利用不可
久手観光開発㈱はたほこSS,ｸﾃｶﾝｺｳｶｲﾊﾂﾊﾀﾎｺｴｽｴｽ,小売業,ガソリンスタンド・燃料,ガソリン、燃料油,丹生川,506-2251,丹生川町旗鉾267-3,0577-70-1031,利用不可
国八食堂,ｸﾆﾊﾁｼｮｸﾄﾞｳ,飲食業,食堂,飲食料理,高山,506-0041,下切町1441-3,33-5171,利用不可
㈲久保石油,ｸﾎﾞｾｷﾕ,小売業,ガソリンスタンド・燃料,ガソリン灯油、タイヤ、ガス器具,上宝,506-1317,上宝町本郷770-1,0578-86-2102,利用不可
クマザキカラー,ｸﾏｻﾞｷｶﾗｰ,生活関連業,写真撮影・スタジオ,デジタルプリント・スタジオ撮影,高山,506-0058,山田町1543-20,34-0357,利用可能
㈱蜘手製材所,ｸﾓﾃﾞｾｲｻﾞｲｼｮ,建設業,管工事,総合建設業,高山,506-0824,片野町3-55,33-3000,利用不可
CLASSIQUE ,ｸﾗｼｯｸ,生活関連業,ジム,パーソナルジム利用料,国府,509-4119,国府町広瀬町9172階,080-9488-4949,利用可能
暮らしの雑貨　まるひゃく,ｸﾗｼﾉｻﾞｯｶﾏﾙﾋｬｸ,小売業,雑貨,印伝・和雑貨,高山,506-0846,上三之町58,32-1640,利用可能
暮らしのまるひゃく,ｸﾗｼﾉﾏﾙﾋｬｸ,小売業,雑貨,和食器・ガラス製品・陶器・ギフト,高山,506-0841,下三之町6,32-1640,利用可能
蔵食房  龍々,ｸﾗｼｮｸﾎﾞｳﾘｭｳﾘｭｳ,飲食業,麺類店,ラーメン・鶏トマ唐揚げ,高山,506-0846,上三之町55,35-2353,利用可能
GRASS  CAFE  FLOWER,ｸﾞﾗｽｶﾌｪﾌﾗﾜｰ,生活関連業,その他各種教室,フラワースクール,高山,506-0058,山田町25-5,35-5671,利用不可
㈲倉田商店,ｸﾗﾀｼｮｳﾃﾝ,小売業,酒屋,酒類、食品、飲料、贈答品,高山,506-0032,千島町418-10,32-2238,利用可能
㈱　倉長,ｸﾗﾁｮｳ,小売業,衣料品・履物,婦人・紳士衣料・学生服・体操服,高山,506-0011,本町4-10-2,34-3000,利用可能
gravity,ｸﾞﾗﾋﾞﾃｨ,理美容・エステ業（マッサージ業）,美容室,美容用品,高山,506-0054,岡本町2-96   田中ビル２F,62-9661,利用不可
グランブルー,ｸﾞﾗﾝﾌﾞﾙｰ,小売業,衣料品・履物,メンズ・レディースウェア,高山,506-0831,吹屋町54,36-5550,利用不可
㈱グリーンウッド,ｸﾞﾘｰﾝｳｯﾄﾞ,建設業,住宅建築,住宅の新築･リフォーム,高山,506-0026,花里町2-14-6,34-0162,利用可能
クリーンランド　けやき通り店,ｸﾘｰﾝﾗﾝﾄﾞｹﾔｷﾄﾞｵﾘ,生活関連業,洗濯業,クリーニング,高山,506-0053,昭和町2-150-1,62-9075,利用可能
クリーンランド　国府店,ｸﾘｰﾝﾗﾝﾄﾞｺｸﾌ,生活関連業,洗濯業,クリーニング,国府,509-4119,国府町広瀬町705,72-3315,利用不可
クリーンランド　下二之町店,ｸﾘｰﾝﾗﾝﾄﾞｼﾓﾆﾉﾏﾁﾃﾝ,生活関連業,洗濯業,クリーニング,高山,506-0842,下二之町67,32-1305,利用不可
クリーンランド　神明町店,ｸﾘｰﾝﾗﾝﾄﾞｼﾝﾒｲﾁｮｳ,生活関連業,洗濯業,クリーニング,高山,506-0821,神明町2-88,34-5157,利用不可
クリーンランド　総和町店,ｸﾘｰﾝﾗﾝﾄﾞｿｳﾜ,生活関連業,洗濯業,クリーニング,高山,506-0007,総和町3-47,32-1244,利用不可
クリーンランド　高山本店,ｸﾘｰﾝﾗﾝﾄﾞﾀｶﾔﾏﾎﾝﾃﾝ,生活関連業,洗濯業,クリーニング,高山,506-0045,赤保木町908,34-5311,利用可能
クリーンランド　ピュア店,ｸﾘｰﾝﾗﾝﾄﾞﾋﾟｭｱ,生活関連業,洗濯業,クリーニング,高山,506-0031,西之一色町3-1135,35-2163,利用不可
クリーンランド　ルビットタウン高山店,ｸﾘｰﾝﾗﾝﾄﾞﾙﾋﾞｯﾄ,生活関連業,洗濯業,クリーニング,高山,506-0054,岡本町3-18-2,35-5122,利用可能
CRYSTAL　FITNESS　STUDIO,ｸﾘｽﾀﾙﾌｨｯﾄﾈｽｽﾀｼﾞｵ,その他の業種,その他,フィットネススタジオ,高山,506-0055,上岡本町3-187,77-9565,利用不可
㈲グリズリー,ｸﾞﾘｽﾞﾘｰ,自動車販売・修理業,自動車,自動車部品,高山,506-0003,本母町320-1,35-2663,利用不可
ｃｌｉｃｋ！　ＴＡＫＡＹＡＭＡ,ｸﾘｯｸﾀｶﾔﾏ,小売業,家具,飛騨の家具・インテリア・雑貨,高山,506-0807,三福寺町847,62-8070,利用可能
Ｇｒｉｌｌ・Ｄｉｎｉｎｇ　弥七,ｸﾞﾘﾙ･ﾀﾞｲﾆﾝｸﾞﾔﾋﾁ,飲食業,焼肉店,焼肉・バーベキュー,高山,506-0031,西之一色町3丁目829番地6,62-8330,利用可能
くるみ温泉＆キャンプ,ｸﾙﾐｵﾝｾﾝ&ｷｬﾝﾌﾟ,ホテル・旅館業等,レジャー関連施設,キャンプ・宿泊料金,朝日,509-3313,朝日町胡桃島8,56-1137,利用可能
Qurum,ｸﾙﾑ,理美容・エステ業（マッサージ業）,美容室,美容業,高山,506-0031,西之一色町3-1685-1,0577-57-7752,利用可能
グルメハウス,ｸﾞﾙﾒﾊｳｽ,小売業,食料品,食肉･食肉加工品,高山,506-0017,朝日町30,34-9600,利用不可
クレア高山整体院,ｸﾚｱﾀｶﾔﾏｾｲﾀｲｲﾝ,理美容・エステ業（マッサージ業）,整体,療術業,高山,506-0031,西之一色町2-55-19,32-3299,利用不可
クレア・ヘアー,ｸﾚｱﾍｱｰ,理美容・エステ業（マッサージ業）,美容室,カット・パーマ・ブロー,高山,506-0001,冬頭町954-1,33-4809,利用不可
クレープダイニングコシャラシャント,ｸﾚｰﾌﾟﾀﾞｲﾆﾝｸﾞｺｼｬﾗｼｬﾝﾄ,飲食業,その他飲食店,クレープ・コーヒー・ワイン,高山,506-0012,八軒町1-95,090-3581-6725,利用可能
くれっしぇんど,ｸﾚｯｼｪﾝﾄﾞ,小売業,その他小売り,飲食・かばん,高山,506-0035,新宮町700-38,36-1112,利用可能
くろき呉服店,ｸﾛｷｺﾞﾌｸﾃﾝ,小売業,衣料品・履物,呉服、婦人服、制服､一般衣料,久々野,509-3214,久々野町無数河617-1,52-2006,利用可能
クロダヘアーワークス,ｸﾛﾀﾞﾍｱｰﾜｰｸｽ,理美容・エステ業（マッサージ業）,理容室,理容室,高山,506-0059,下林町347-4,35-3990,利用可能
黒地モータース,ｸﾛﾁﾓｰﾀｰｽ,自動車販売・修理業,自動車,自動車販売整備,高山,506-0055,上岡本町2-288,33-0262,利用可能
㈱桑原板金,ｸﾜﾊﾗﾊﾞﾝｷﾝ,建設業,住宅建築,建築板金(屋根・壁・樋等),高山,506-0825,石浦町7-369,34-2560,利用不可
㈲くわやま広告,ｸﾜﾔﾏｺｳｺｸ,その他の業種,その他,看板一式,高山,506-0802,松之木町908-6,32-1380,利用不可
ケア高山,ｹｱﾀｶﾔﾏ,小売業,その他小売り,介護用品,高山,506-0054,岡本町4-311-14,37-0717,利用不可
ＫＴファクトリー,ｹｲﾃｨﾌｧｸﾄﾘｰ,自動車販売・修理業,自動車,自動車整備,高山,506-0052,下岡本町1555,0577-70-1176,利用可能
Ｋ ＬＩＦＥ クリエイト,ｹｲﾗｲﾌｸﾘｴｲﾄ,建設業,住宅建築,住宅リフォーム全般、外構工事,一之宮,509-3505,一之宮町4757,080-2640-8199,利用不可
㈲ケー．レーシングクラブ,ｹｰ.ﾚｰｼﾝｸﾞｸﾗﾌﾞ,自動車販売・修理業,自転車・バイク,二輪販売・修理,高山,506-0001,冬頭町415,34-6303,利用可能
ケータイ屋カマック,ｹｰﾀｲﾔｶﾏｯｸ,その他の業種,その他,モバイル設定・相談・取次,高山,506-0026,花里町3-8,090-9028-8653,利用可能
Ｋ-２　ｈａｉｒ　ｆａｃｔｏｒｙ,ｹｰﾂｰﾍｱﾌｧｸﾄﾘｰ,理美容・エステ業（マッサージ業）,理容室,カット・パーマ・ヘアカラー,高山,506-0841,下三之町50-3,34-2922,利用可能
ゲゼレダイニング　刻のや,ｹﾞｾﾞﾚﾀﾞｲﾆﾝｸﾞﾄｷﾉﾔ,飲食業,その他飲食店,仕出し・すし,高山,506-0052,下岡本町2911-8,37-4114,利用可能
元気づくりジム　ミナギル,ｹﾞﾝｷﾂﾞｸﾘｼﾞﾑﾐﾅｷﾞﾙ,生活関連業,ジム,トレーニングジム,高山,506-0031,西之一色町2丁目126-1,36-1555,利用可能
健康ラボ+BE.style,ｹﾝｺｳﾗﾎﾞﾋﾞｰｽﾀｲﾙ,生活関連業,ジム,ストレッチ整体,高山,506-0012,八軒町2-68,090-9178-9717,利用不可
㈱建築雅,ｹﾝﾁｸﾐﾔﾋﾞ,建設業,住宅建築,リフォーム・新築,高山,506-0802,松之木町1507-1,35-0459,利用不可
小絲果樹園,ｺｲﾄｶｼﾞｭｴﾝ,小売業,食料品,りんご・野菜生産直売・ジュース,高山,506-0055,上岡本町3-48,33-9636,利用不可
小糸焼窯元,ｺｲﾄﾔｷｶﾏﾓﾄ,小売業,その他小売り,陶器,高山,506-0055,上岡本町1-136,32-1981,利用可能
光華眼鏡店,ｺｳｶｶﾞﾝｷｮｳﾃﾝ,小売業,宝飾品・眼鏡,眼鏡・コンタクトレンズ・補聴器,高山,506-0054,岡本町1-22-3,32-3715,利用可能
光華サロン エムス,ｺｳｶｻﾛﾝｴﾑｽ,理美容・エステ業（マッサージ業）,エステ,エステサロン,高山,506-0054,岡本町2-1-6,37-0116,利用可能
糀屋 柴田春次商店 朝市店,ｺｳｼﾞﾔｼﾊﾞﾀﾊﾙｼﾞｼｮｳﾃﾝｱｻｲﾁﾃﾝ,小売業,食料品,味噌、菓子、朴葉みそ、ギフト,高山,506-0841,下三之町43-9,32-0655,利用不可
糀屋 柴田春次商店 本店,ｺｳｼﾞﾔｼﾊﾞﾀﾊﾙｼﾞｼｮｳﾃﾝﾎﾝﾃﾝ,小売業,食料品,味噌、菓子、味噌ギフト、こうじ,高山,506-0841,下三之町113,32-0655,利用不可
糀屋 柴田春次商店 松之木営業所,ｺｳｼﾞﾔｼﾊﾞﾀﾊﾙｼﾞｼｮｳﾃﾝﾏﾂﾉｷｴｲｷﾞｮｳｼｮ,小売業,食料品,味噌・菓子,高山,506-0802,松之木町199-22,32-0653,利用不可
工匠館,ｺｳｼｮｳｶﾝ,小売業,仏壇・仏具・墓石,仏壇・仏具・神具・みこし・獅子,高山,506-0004,桐生町2ｰ105,35-3038,利用可能
酵素高山,ｺｳｿﾀｶﾔﾏ,ホテル・旅館業等,入浴施設,米ぬか酵素風呂,国府,509-4119,国府町広瀬町1197-1,72-2805,利用不可
㈲ 弘文舎,ｺｳﾌﾞﾝｼｬ,その他の業種,その他,ドローン空撮・ストリートビュー,高山,506-0844,上一之町96,32-0661,利用可能
こうぼう,ｺｳﾎﾞｳ,飲食業,酒場,串焼き、唐揚げ、お刺身、お酒,高山,506-0007,総和町1-45-4,36-8377,利用可能
郷里中華そば,ｺﾞｳﾘﾁｭｳｶｿﾊﾞ,飲食業,麺類店,中華そば,高山,506-0026,花里町5-10,34-7987,利用不可
コージエリア,ｺｰｼﾞｴﾘｱ,建設業,建設,物置・カーポート・テラス・庭,高山,506-0032,千島町520-1,35-1800,利用可能
珈琲工房　あまんど,ｺｰﾋｰｺｳﾎﾞｳｱﾏﾝﾄﾞ,飲食業,喫茶店,コーヒー、コーヒー豆,高山,506-0052,下岡本町1168-2,33-9416,利用不可
コーヒーハウス　パロット,ｺｰﾋｰﾊｳｽﾊﾟﾛｯﾄ,飲食業,喫茶店,軽食、喫茶,丹生川,506-2252,丹生川町久手1-5,79-2257,利用不可
珈琲屋らんぷ　飛騨高山店,ｺｰﾋｰﾔﾗﾝﾌﾟﾋﾀﾞﾀｶﾔﾏﾃﾝ,飲食業,喫茶店,コーヒー・軽食・デザート,高山,506-0004,桐生町8-24-1,57-8665,利用可能
黒炒豆横浜,ｺｰﾋｰﾖｺﾊﾏ,小売業,食料品,コーヒー豆販売・コーヒー持帰り,高山,506-0051,中山町112,32-0665,利用不可
㈲こがいと設備,ｺｶﾞｲﾄｾﾂﾋﾞ,建設業,設備,給排水工事及び衛生器具取付,丹生川,506-2123,丹生川町町方18-3,78-1552,利用不可
五感の館　ドュース・フレール,ｺﾞｶﾝﾉﾔｶﾀﾄﾞｭｰｽ･ﾌﾚｰﾙ,理美容・エステ業（マッサージ業）,エステ,化粧品・エステティック,高山,506-0007,総和町3-61-4,35-3480,利用可能
㈱国府モータース,ｺｸﾌﾓｰﾀｰｽ,自動車販売・修理業,自動車,自動車販売・整備,国府,509-4119,国府町広瀬町1582-1,72-2075,利用可能
coquelicot,ｺｸﾘｺ,小売業,衣料品・履物,婦人服・子供服・手作り雑貨,高山,506-0035,新宮町1946,57-7713,利用可能
Koco.Nail,ｺｺﾈｲﾙ,理美容・エステ業（マッサージ業）,美容サロン,ネイルサービス,高山,506-0031,西之一色町3-1228,070-1621-5858,利用可能
KOCORONO,ｺｺﾛﾉ,小売業,衣料品・履物,衣料品・靴・バッグ・雑貨,高山,506-0054,岡本町1-160-1,57-8797,利用可能
コサカ楽器　カルパティオ店,ｺｻｶｶﾞｯｷｶﾙﾊﾟﾃｨｵﾃﾝ,小売業,その他小売り,楽器・楽譜・CD・音楽雑貨,高山,506-0054,岡本町2-41,33-1031,利用可能
コサカ楽器　本店,ｺｻｶｶﾞｯｷﾎﾝﾃﾝ,小売業,その他小売り,楽器・楽譜・CD・音楽雑貨,高山,506-0011,本町2-20,32-1031,利用可能
㈲小坂建築,ｺｻｶｹﾝﾁｸ,建設業,住宅建築,建築一式,丹生川,506-2135,丹生川町下保135,78-1818,利用可能
コサカ種苗　農業センター,ｺｻｶｼｭﾋﾞｮｳﾉｳｷﾞｮｳｾﾝﾀｰ,小売業,その他小売り,農業資材,高山,506-0807,三福寺町606-1,32-0552,利用可能
コサカ種苗　本店,ｺｻｶｼｭﾋﾞｮｳﾎﾝﾃﾝ,小売業,その他小売り,種苗,高山,506-0856,大門町75,34-0552,利用可能
五色ケ原の森,ｺﾞｼｷｶﾞﾊﾗﾉﾓﾘ,その他の業種,その他,自然観察・トレッキングツアー,丹生川,506-2252,丹生川町久手471-3,79-2280,利用不可
こすぎ仏壇店,ｺｽｷﾞﾌﾞﾂﾀﾞﾝﾃﾝ,小売業,仏壇・仏具・墓石,仏壇・仏具,高山,506-0011,本町3-60,32-1745,利用可能
合同会社teamkosebone こせ接骨院,ｺｾｾｯｺﾂｲﾝ,理美容・エステ業（マッサージ業）,マッサージ,接骨院,高山,506-0851,大新町3-197-3,090-6364-8294,利用可能
㈱小高電気,ｺﾀｶﾃﾞﾝｷ,建設業,設備,電気設備工事,高山,506-0004,桐生町6-19,32-5975,利用不可
こだわり惣菜みちした,ｺﾀﾞﾜﾘｿｳｻﾞｲﾐﾁｼﾀ,小売業,食料品,手造り惣菜・寿司・刺身・おはぎ,高山,506-0026,花里町1-152-13,33-1692,利用可能
kochi,ｺﾁ,小売業,雑貨,生活雑貨・インテリア木製品,高山,506-0031,西之一色町3-813-7,35-5176,利用可能
Kotemari,ｺﾃﾏﾘ,飲食業,酒場,お酒などの飲み物・食事,高山,506-0017,朝日町23,080-7724-4903,利用不可
寿屋みつき,ｺﾄﾌﾞｷﾔﾐﾂｷ,小売業,スポーツ用品,シニアスポーツ用品,高山,506-0006,神田町2-76南城マンション1-3号室,080-6988-8558,利用不可
㈱小林ベニヤ,ｺﾊﾞﾔｼﾍﾞﾆﾔ,建設業,資材,住宅用建材と住宅リフォーム,高山,506-0005,七日町3-102,32-2577,利用可能
㈲こびしや,ｺﾋﾞｼﾔ,小売業,食料品,おにぎり・おすし・惣菜,高山,506-0008,初田町1-64,32-2378,利用不可
古美術古民芸いなか,ｺﾋﾞｼﾞｭﾂｺﾐﾝｹﾞｲｲﾅｶ,小売業,その他小売り,古美術品　昔の生活道具,高山,506-0844,上一之町95番地,0577-34-5758,利用不可
㈱拳,ｺﾌﾞｼ,小売業,食料品,うるち米,高山,506-0801,上野町1449-51,70-8251,利用可能
独楽,ｺﾏ,飲食業,その他飲食店,お好み焼き・焼きそば・鉄板焼き,高山,506-0009,花岡町1-6,34-6488,利用不可
料理旅館　こまくさ,ｺﾏｸｻ,ホテル・旅館業等,旅館,会食等・テイクアウト,高山,506-0054,岡本町4-172-1,34-4731,利用可能
こまやパン,ｺﾏﾔﾊﾟﾝ,小売業,パン・菓子,パン・菓子・飲料,高山,506-0025,天満町6-1,32-2937,利用可能
こまやパン,ｺﾏﾔﾊﾟﾝ,小売業,パン・菓子,パン・菓子・飲料,高山,506-0055,上岡本町7-285,34-7066,利用可能
古民家Cafe　木花木花,ｺﾐﾝｶｶﾌｪﾓｯｶﾓｯｶ,飲食業,喫茶店,ワンプレートランチ,奥飛騨温泉郷,506-1434,奥飛騨温泉郷福地834,050-3561-8898,利用不可
古民家レストラン　FUDO,ｺﾐﾝｶﾚｽﾄﾗﾝﾌｰﾄﾞ,飲食業,レストラン,イタリアン,高山,506-0031,西之一色町3-936-1,70-1006,利用可能
米丸家,ｺﾒﾏﾙﾔ,小売業,食料品,みだらしだんご,高山,506-0807,三福寺町278,35-5310,利用不可
米丸家　エブリ東山店,ｺﾒﾏﾙﾔｴﾌﾞﾘﾋｶﾞｼﾔﾏﾃﾝ,小売業,食料品,みだらしだんご,高山,506-0802,松之木町283-1,35-5310,利用不可
米丸家　エブリフレスポ店,ｺﾒﾏﾙﾔｴﾌﾞﾘﾌﾚｽﾎﾟﾃﾝ,小売業,食料品,みだらしだんご,高山,506-0025,天満町1-4,35-5310,利用不可
米丸家　駿河屋アスモ店,ｺﾒﾏﾙﾔｽﾙｶﾞﾔｱｽﾓﾃﾝ,小売業,食料品,みだらしだんご,高山,506-0054,岡本町2-45-1,35-5310,利用不可
小屋垣内農園　イチゴ狩り,ｺﾔｶﾞｲﾄﾉｳｴﾝｲﾁｺﾞｶﾞﾘ,その他の業種,その他,いちご狩り,高山,506-0818,江名子町,36-3141,利用可能
こより,ｺﾖﾘ,飲食業,レストラン,ランチコース　ディナーコース,高山,506-0841,下三之町55,0577-57-8166,利用可能
ＣＯＲＥＯ　Hida-Takayama,ｺﾚｵﾋﾀﾞﾀｶﾔﾏ,小売業,雑貨,木製雑貨及び木製家具,高山,506-0011,本町2-8,54-1885,利用可能
これくしょん,ｺﾚｸｼｮﾝ,小売業,雑貨,婦人服・小物・アクセサリー,高山,506-0851,大新町1-95-4,34-5574,利用不可
コンタクトレンズ・メガネのヤマザキ,ｺﾝﾀｸﾄﾚﾝｽﾞ･ﾒｶﾞﾈﾉﾔﾏｻﾞｷ,小売業,宝飾品・眼鏡,コンタクトレンズ・メガネ,高山,506-0008,初田町3丁目17,35-5015,利用可能
サーティワン　アイスクリーム　ルビットタウン高山店,ｻｰﾃｨﾜﾝ,小売業,パン・菓子,アイスクリーム,高山,506-0054,岡本町3-18-2,62-8122,利用可能
彩菓　なな草,ｻｲｶﾅﾅｸｻ,小売業,パン・菓子,和菓子,高山,506-0845,上二之町64,36-7793,利用可能
サイクルショップひぐち,ｻｲｸﾙｼｮｯﾌﾟﾋｸﾞﾁ,自動車販売・修理業,自転車・バイク,自転車・バイク,国府,509-4119,国府町広瀬町1069,72-2058,利用可能
再春館治療室,ｻｲｼｭﾝｶﾝﾁﾘｮｳｼﾂ,理美容・エステ業（マッサージ業）,マッサージ,マッサージ,高山,506-0031,西之一色町3-388　にしきマンション１Ｆ,36-4566,利用不可
在の食料品店　イチロクナナ,ｻﾞｲﾉｼｮｸﾘｮｳﾋﾝﾃﾝ,小売業,食料品,食料品,高山,506-0035,新宮町1118,33-9129,利用不可
サウンドガーデン,ｻｳﾝﾄﾞｶﾞｰﾃﾞﾝ,小売業,衣料品・履物,洋服,高山,506-0026,花里町5-6,33-6767,利用不可
酒井指圧治療院,ｻｶｲｼｱﾂﾁﾘｮｳｲﾝ,理美容・エステ業（マッサージ業）,マッサージ,指圧,高山,506-0055,上岡本町2丁目165-3,090-2132-8906,利用不可
坂上加麗堂（表具師）,ｻｶｳｴｶﾚｲﾄﾞｳ(ﾋｮｳｸﾞｼ),その他の業種,その他,掛軸表装・屏風、障子・襖張替,高山,506-0844,上一之町25,32-3946,利用可能
坂口商店,ｻｶｸﾞﾁｼｮｳﾃﾝ,小売業,酒屋,酒類・ワイン,高山,506-0005,七日町2-202,32-0964,利用不可
坂口石油㈲,ｻｶｸﾞﾁｾｷﾕ,小売業,ガソリンスタンド・燃料,ガソリン・軽油・灯油,高山,506-0044,上切町69-1,32-1618,利用可能
㈲坂田屋ふとん屋,ｻｶﾀﾌﾄﾝﾃﾝ,小売業,寝具,寝具,高山,506-0843,下一之町8,32-0136,利用可能
肴亭　月うさぎ,ｻｶﾅﾃｲﾂｷｳｻｷﾞ,飲食業,酒場,飲食店,高山,506-0017,朝日町13-1　AYAビル1F,36-0068,利用不可
The Caprice,ｻﾞｶﾌﾟﾘｽ,飲食業,レストラン,飲食物,高山,506-0021,名田町4-3,090-5540-6601,利用可能
坂本酒店,ｻｶﾓﾄｻｹﾃﾝ,小売業,酒屋,ワイン、チーズ、クラフトビール,久々野,509-3214,久々野町無数河616-2,52-2105,利用可能
坂本設備工業㈱,ｻｶﾓﾄｾﾂﾋﾞｺｳｷﾞｮｳ,建設業,管工事,水廻り工事・ボイラー・衛生機器,高山,506-0001,冬頭町275-1,34-5709,利用不可
桜井電器,ｻｸﾗｲﾃﾞﾝｷ,小売業,家電,家電品,高山,506-0021,名田町4-45,34-3492,利用可能
さくら井や土産品店,ｻｸﾗｲﾔ,小売業,その他小売り,土産品・地酒・地ビール,高山,506-0026,花里町5-20,34-0931,利用可能
SAKURA CAR SERVICE,ｻｸﾗｶｰｻｰﾋﾞｽ,自動車販売・修理業,自動車,自動車修理販売,高山,506-0041,下切町1466,34-1009,利用可能
さくら治療院,ｻｸﾗﾁﾘｮｳｲﾝ,理美容・エステ業（マッサージ業）,マッサージ,マッサージ,高山,506-0003,本母町432-7,32-8500,利用不可
桜本酒店,ｻｸﾗﾓﾄｻｹﾃﾝ,小売業,酒屋,酒,高山,506-0044,上切町337-2,33-9210,利用可能
㈲桜本配管工事店,ｻｸﾗﾓﾄﾊｲｶﾝｺｳｼﾞﾃﾝ,建設業,設備,上下水道工事・水廻り修理,高山,506-0044,上切町337,32-5555,利用不可
酒のスーパーゴリラ奥飛騨店,ｻｹﾉｽｰﾊﾟｰｺﾞﾘﾗｵｸﾋﾀﾞﾃﾝ,小売業,酒屋,酒、飲料水他,奥飛騨温泉郷,506-1423,奥飛騨温泉郷栃尾339-72,0578-89-2056,利用不可
酒のBOSS 三福寺店,ｻｹﾉﾎﾞｽｻﾝﾌｸｼﾞﾃﾝ,小売業,酒屋,酒・食品,高山,506-0807,三福寺町388-1,36-1199,利用可能
雑貨屋　木の実,ｻﾞｯｶﾔｷﾉﾐ,小売業,衣料品・履物,衣類雑貨（オリジナルTシャツ）,高山,506-0011,本町2-22,35-1539,利用可能
satio,ｻﾃｨｵ,理美容・エステ業（マッサージ業）,美容室,美容室,高山,506-0851,大新町4-181-3,35-3050,利用可能
㈲佐藤モータース,ｻﾄｳﾓｰﾀｰｽ,自動車販売・修理業,自動車,自動車・販売・修理,高山,506-0004,桐生町3-111,32-1451,利用不可
里山茶屋　むろや,ｻﾄﾔﾏﾁｬﾔﾑﾛﾔ,飲食業,食堂,とんかつ・そば,荘川,501-5403,荘川町三尾河258,05769-2-2056,利用可能
さとり食堂,ｻﾄﾘｼｮｸﾄﾞｳ,飲食業,食堂,ランチ、定食、宴会、喫茶,丹生川,506-2121,丹生川町坊方2005-11,78-1101,利用可能
SANU coffee  stand,ｻﾇｺｰﾋｰｽﾀﾝﾄﾞ,飲食業,喫茶店,コーヒー,高山,506-0011,本町4-4,090-6644-9066,利用可能
茶房　卯さぎ,ｻﾎﾞｳｳｻｷﾞ,飲食業,喫茶店,コーヒー・紅茶と手作りスイーツ,高山,506-0842,下二之町40,57-7476,利用可能
茶房　蔵茂,ｻﾎﾞｳｸﾗﾓ,飲食業,喫茶店,喫茶,高山,506-0824,片野町5-124,57-8889,利用可能
茶房　布久庵,ｻﾎﾞｳﾌｷｭｳｱﾝ,飲食業,喫茶店,甘味,高山,506-0843,下一之町14,34-0126,利用可能
茶房　もく,ｻﾎﾞｳﾓｸ,飲食業,喫茶店,喫茶店,一之宮,509-3505,一之宮町3351-1,53-2168,利用可能
SAVON ENDASORA,ｻﾎﾞﾝｴﾝﾀﾞｿﾗ,小売業,その他小売り,飛騨素材を配合した固形石鹸,国府,509-4117,国府町三川693,090-3299-2761,利用不可
サラダ館　花里店,ｻﾗﾀﾞｶﾝﾊﾅｻﾄﾃﾝ,小売業,その他小売り,贈答品,高山,506-0025,天満町2-77,34-5546,利用可能
ざる蕎麦　せと,ｻﾞﾙｿﾊﾞｾﾄ,飲食業,麺類店,手打ちそば,高山,506-0052,下岡本町1660-1,35-5756,利用可能
さるぼぼ工房,ｻﾙﾎﾞﾎﾞｺｳﾎﾞｳ,その他の業種,その他,さるぼぼ作り体験,高山,506-0031,西之一色町2-180　高山グリーンホテル物産館内,32-0588,利用可能
さるぼぼ助産院,ｻﾙﾎﾞﾎﾞｼﾞｮｻﾝｲﾝ,その他の業種,その他,助産師業務,高山,506-0802,松之木町295-3,090-7024-8169,利用可能
サロンA＆A,ｻﾛﾝｴｰｱﾝﾄﾞｴｰ,理美容・エステ業（マッサージ業）,エステ,エステ・リンパ整体,高山,506-0053,昭和町2-28,090-1620-3406,利用可能
